TF3,TL25,TL28,TQ15,SRSEX,ACE_T,DOCT_YR,SOCHESS3,OMBSRTN_P1,RACEDFT_P1,TB1_P1
2,2,2,1,1,2,1,11,5,4,2
1,2,2,2,1,2,1,9,2,6,3
2,2,2,1,1,2,1,9,2,6,1
2,3,3,2,1,2,1,9,7,8,4
2,1,3,3,1,2,1,5,2,6,3
2,2,2,2,2,1,2,9,2,6,1
2,3,2,1,2,1,1,9,2,6,3
1,2,2,1,2,1,1,10,2,6,1
2,1,2,2,2,2,1,9,5,4,3
2,3,3,4,1,1,1,9,2,6,2
2,2,2,1,1,2,1,8,5,4,2
2,3,3,2,2,2,1,8,1,1,1
2,2,2,2,1,2,2,9,2,6,2
2,4,1,5,1,1,2,5,2,6,3
2,3,3,3,2,2,1,10,2,6,1
2,2,2,5,2,2,1,9,1,1,2
2,2,2,4,2,2,1,9,2,6,3
2,2,2,2,1,1,1,9,1,1,3
1,2,3,2,1,2,1,11,1,1,2
2,2,3,4,2,1,1,8,1,1,2
2,3,3,2,1,1,1,9,1,1,4
2,1,1,3,1,2,1,9,1,1,3
2,2,3,4,2,1,2,10,1,1,2
2,2,2,4,2,2,1,9,1,1,2
2,2,2,2,1,1,1,11,5,4,2
2,2,2,1,2,2,2,8,2,6,2
2,2,3,4,1,1,2,9,1,1,3
2,2,3,2,2,2,1,10,7,8,1
2,2,2,3,2,1,1,7,2,6,3
2,2,3,4,1,1,1,10,2,6,2
2,2,2,2,1,2,1,10,2,6,2
2,3,3,4,2,1,1,10,2,6,2
2,2,2,2,1,2,2,9,7,8,2
2,1,1,2,1,2,1,11,7,8,3
2,2,2,4,2,2,1,9,1,1,2
2,3,3,3,1,1,1,9,1,1,4
2,2,3,2,2,2,1,9,1,1,3
2,2,2,2,1,1,1,12,2,8,2
2,2,3,3,2,2,1,10,7,8,3
2,2,3,2,1,2,2,12,2,6,2
2,1,2,2,2,2,2,9,5,4,3
2,2,1,1,2,1,1,10,1,1,2
2,2,2,2,2,2,1,9,1,1,2
2,1,2,2,2,2,2,9,3,7,3
2,2,2,1,1,2,1,9,1,1,1
2,2,3,3,1,2,1,7,5,4,2
2,3,3,3,1,2,1,9,7,8,3
2,2,3,2,1,2,2,9,7,8,4
2,2,2,3,2,2,2,10,1,1,3
2,1,3,2,2,2,1,5,1,1,3
2,2,1,2,1,2,2,12,2,6,3
2,2,3,3,2,1,1,7,1,1,4
2,3,2,3,1,2,1,9,2,6,3
2,1,1,3,2,1,1,9,1,1,1
2,2,3,2,1,2,1,8,7,8,1
2,2,3,3,2,1,1,9,1,1,3
2,2,3,3,1,1,1,5,2,8,4
2,2,2,3,1,2,1,9,2,6,3
2,1,3,4,1,2,1,9,5,4,2
2,3,2,2,1,2,2,9,2,6,3
2,1,2,1,2,1,1,9,2,6,1
1,1,1,1,2,2,1,10,1,1,1
2,2,3,2,1,2,1,10,1,1,2
2,2,3,2,1,2,1,9,5,4,3
2,2,3,4,1,2,1,9,7,8,3
2,2,2,1,1,2,2,11,2,6,1
2,2,3,4,2,2,2,9,1,1,1
2,1,2,4,2,1,1,9,2,6,2
2,2,2,2,2,2,1,10,7,8,2
2,1,3,4,2,2,2,9,2,6,3
2,4,4,5,1,2,1,8,1,1,4
2,2,3,4,2,1,1,11,2,6,3
2,2,2,1,1,2,1,12,5,4,1
2,2,2,1,1,2,1,12,5,4,3
2,2,3,3,2,1,2,9,1,1,3
2,3,2,1,1,2,1,5,1,1,3
2,2,3,3,2,2,1,9,2,6,2
2,1,2,3,1,2,1,10,2,6,3
2,1,2,4,2,2,1,9,1,1,3
2,2,2,1,2,2,1,9,5,4,1
2,1,2,1,2,1,1,9,7,8,2
2,1,1,3,1,1,1,8,1,1,3
2,2,2,4,2,1,1,9,2,6,2
2,1,2,2,2,2,1,11,7,8,1
2,1,1,3,1,2,1,6,1,1,2
2,1,2,3,1,1,1,9,2,6,4
1,2,2,5,2,1,1,9,1,1,1
2,2,1,4,1,1,2,12,2,6,1
2,2,3,2,1,2,1,9,1,1,2
2,2,2,1,2,2,1,11,5,4,3
2,2,3,1,2,2,1,10,5,4,1
2,1,2,3,1,1,1,11,2,6,2
2,2,2,2,1,2,1,11,2,6,1
2,2,2,2,1,2,2,9,1,1,3
1,3,3,2,2,1,1,9,2,6,3
2,2,3,1,2,2,1,11,1,1,1
2,2,3,3,2,1,1,7,2,6,3
2,2,2,3,1,2,2,9,1,1,1
2,2,3,3,1,1,2,9,5,4,3
2,2,3,2,1,1,1,9,1,1,3
1,2,2,1,1,1,1,9,3,7,1
2,2,2,2,1,2,2,12,2,6,1
