"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B25070_001E","Estimate!!Total"
"B25070_001M","Margin of Error!!Total"
"B25070_001MA","Annotation of Margin of Error!!Total"
"B25070_001EA","Annotation of Estimate!!Total"
"B25070_002E","Estimate!!Total!!Less than 10.0 percent"
"B25070_002M","Margin of Error!!Total!!Less than 10.0 percent"
"B25070_002MA","Annotation of Margin of Error!!Total!!Less than 10.0 percent"
"B25070_002EA","Annotation of Estimate!!Total!!Less than 10.0 percent"
"B25070_003E","Estimate!!Total!!10.0 to 14.9 percent"
"B25070_003EA","Annotation of Estimate!!Total!!10.0 to 14.9 percent"
"B25070_003M","Margin of Error!!Total!!10.0 to 14.9 percent"
"B25070_003MA","Annotation of Margin of Error!!Total!!10.0 to 14.9 percent"
"B25070_004E","Estimate!!Total!!15.0 to 19.9 percent"
"B25070_004M","Margin of Error!!Total!!15.0 to 19.9 percent"
"B25070_004MA","Annotation of Margin of Error!!Total!!15.0 to 19.9 percent"
"B25070_004EA","Annotation of Estimate!!Total!!15.0 to 19.9 percent"
"B25070_005E","Estimate!!Total!!20.0 to 24.9 percent"
"B25070_005EA","Annotation of Estimate!!Total!!20.0 to 24.9 percent"
"B25070_005M","Margin of Error!!Total!!20.0 to 24.9 percent"
"B25070_005MA","Annotation of Margin of Error!!Total!!20.0 to 24.9 percent"
"B25070_006E","Estimate!!Total!!25.0 to 29.9 percent"
"B25070_006M","Margin of Error!!Total!!25.0 to 29.9 percent"
"B25070_006MA","Annotation of Margin of Error!!Total!!25.0 to 29.9 percent"
"B25070_006EA","Annotation of Estimate!!Total!!25.0 to 29.9 percent"
"B25070_007E","Estimate!!Total!!30.0 to 34.9 percent"
"B25070_007M","Margin of Error!!Total!!30.0 to 34.9 percent"
"B25070_007MA","Annotation of Margin of Error!!Total!!30.0 to 34.9 percent"
"B25070_007EA","Annotation of Estimate!!Total!!30.0 to 34.9 percent"
"B25070_008E","Estimate!!Total!!35.0 to 39.9 percent"
"B25070_008M","Margin of Error!!Total!!35.0 to 39.9 percent"
"B25070_008MA","Annotation of Margin of Error!!Total!!35.0 to 39.9 percent"
"B25070_008EA","Annotation of Estimate!!Total!!35.0 to 39.9 percent"
"B25070_009E","Estimate!!Total!!40.0 to 49.9 percent"
"B25070_009EA","Annotation of Estimate!!Total!!40.0 to 49.9 percent"
"B25070_009M","Margin of Error!!Total!!40.0 to 49.9 percent"
"B25070_009MA","Annotation of Margin of Error!!Total!!40.0 to 49.9 percent"
"B25070_010E","Estimate!!Total!!50.0 percent or more"
"B25070_010M","Margin of Error!!Total!!50.0 percent or more"
"B25070_010MA","Annotation of Margin of Error!!Total!!50.0 percent or more"
"B25070_010EA","Annotation of Estimate!!Total!!50.0 percent or more"
"B25070_011E","Estimate!!Total!!Not computed"
"B25070_011M","Margin of Error!!Total!!Not computed"
"B25070_011MA","Annotation of Margin of Error!!Total!!Not computed"
"B25070_011EA","Annotation of Estimate!!Total!!Not computed"
