"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_001MA","B25070_001EA","B25070_002E","B25070_002M","B25070_002MA","B25070_002EA","B25070_003E","B25070_003EA","B25070_003M","B25070_003MA","B25070_004E","B25070_004M","B25070_004MA","B25070_004EA","B25070_005E","B25070_005EA","B25070_005M","B25070_005MA","B25070_006E","B25070_006M","B25070_006MA","B25070_006EA","B25070_007E","B25070_007M","B25070_007MA","B25070_007EA","B25070_008E","B25070_008M","B25070_008MA","B25070_008EA","B25070_009E","B25070_009EA","B25070_009M","B25070_009MA","B25070_010E","B25070_010M","B25070_010MA","B25070_010EA","B25070_011E","B25070_011M","B25070_011MA","B25070_011EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Less than 10.0 percent","Margin of Error!!Total!!Less than 10.0 percent","Annotation of Margin of Error!!Total!!Less than 10.0 percent","Annotation of Estimate!!Total!!Less than 10.0 percent","Estimate!!Total!!10.0 to 14.9 percent","Annotation of Estimate!!Total!!10.0 to 14.9 percent","Margin of Error!!Total!!10.0 to 14.9 percent","Annotation of Margin of Error!!Total!!10.0 to 14.9 percent","Estimate!!Total!!15.0 to 19.9 percent","Margin of Error!!Total!!15.0 to 19.9 percent","Annotation of Margin of Error!!Total!!15.0 to 19.9 percent","Annotation of Estimate!!Total!!15.0 to 19.9 percent","Estimate!!Total!!20.0 to 24.9 percent","Annotation of Estimate!!Total!!20.0 to 24.9 percent","Margin of Error!!Total!!20.0 to 24.9 percent","Annotation of Margin of Error!!Total!!20.0 to 24.9 percent","Estimate!!Total!!25.0 to 29.9 percent","Margin of Error!!Total!!25.0 to 29.9 percent","Annotation of Margin of Error!!Total!!25.0 to 29.9 percent","Annotation of Estimate!!Total!!25.0 to 29.9 percent","Estimate!!Total!!30.0 to 34.9 percent","Margin of Error!!Total!!30.0 to 34.9 percent","Annotation of Margin of Error!!Total!!30.0 to 34.9 percent","Annotation of Estimate!!Total!!30.0 to 34.9 percent","Estimate!!Total!!35.0 to 39.9 percent","Margin of Error!!Total!!35.0 to 39.9 percent","Annotation of Margin of Error!!Total!!35.0 to 39.9 percent","Annotation of Estimate!!Total!!35.0 to 39.9 percent","Estimate!!Total!!40.0 to 49.9 percent","Annotation of Estimate!!Total!!40.0 to 49.9 percent","Margin of Error!!Total!!40.0 to 49.9 percent","Annotation of Margin of Error!!Total!!40.0 to 49.9 percent","Estimate!!Total!!50.0 percent or more","Margin of Error!!Total!!50.0 percent or more","Annotation of Margin of Error!!Total!!50.0 percent or more","Annotation of Estimate!!Total!!50.0 percent or more","Estimate!!Total!!Not computed","Margin of Error!!Total!!Not computed","Annotation of Margin of Error!!Total!!Not computed","Annotation of Estimate!!Total!!Not computed",
"1400000US06001400100","Census Tract 4001, Alameda County, California","128","65","null","null","0","12","null","null","45","null","35","null","37","48","null","null","8","null","13","null","6","11","null","null","0","12","null","null","17","19","null","null","0","null","12","null","15","18","null","null","0","12","null","null",
"1400000US06001400200","Census Tract 4002, Alameda County, California","282","51","null","null","29","21","null","null","58","null","31","null","78","29","null","null","21","null","16","null","49","26","null","null","3","5","null","null","22","17","null","null","16","null","15","null","6","9","null","null","0","12","null","null",
"1400000US06001400300","Census Tract 4003, Alameda County, California","1303","173","null","null","12","21","null","null","91","null","58","null","214","94","null","null","205","null","82","null","212","128","null","null","153","101","null","null","119","105","null","null","15","null","23","null","190","99","null","null","92","69","null","null",
"1400000US06001400400","Census Tract 4004, Alameda County, California","1090","127","null","null","43","34","null","null","136","null","63","null","234","78","null","null","170","null","70","null","67","43","null","null","99","58","null","null","46","37","null","null","101","null","60","null","179","59","null","null","15","17","null","null",
"1400000US06001400500","Census Tract 4005, Alameda County, California","1034","87","null","null","8","13","null","null","125","null","66","null","202","83","null","null","204","null","86","null","82","48","null","null","100","56","null","null","86","66","null","null","35","null","27","null","178","69","null","null","14","16","null","null",
"1400000US06001400600","Census Tract 4006, Alameda County, California","394","54","null","null","29","25","null","null","0","null","12","null","42","23","null","null","58","null","26","null","26","29","null","null","20","17","null","null","18","17","null","null","37","null","34","null","133","50","null","null","31","23","null","null",
"1400000US06001400700","Census Tract 4007, Alameda County, California","1143","145","null","null","21","25","null","null","50","null","49","null","80","35","null","null","190","null","86","null","139","63","null","null","168","81","null","null","73","68","null","null","56","null","35","null","348","111","null","null","18","20","null","null",
"1400000US06001400800","Census Tract 4008, Alameda County, California","1008","132","null","null","41","28","null","null","64","null","37","null","83","58","null","null","161","null","85","null","129","89","null","null","81","57","null","null","44","50","null","null","97","null","69","null","256","95","null","null","52","42","null","null",
"1400000US06001400900","Census Tract 4009, Alameda County, California","720","93","null","null","25","21","null","null","65","null","42","null","107","53","null","null","91","null","54","null","65","38","null","null","61","51","null","null","15","17","null","null","38","null","33","null","238","74","null","null","15","16","null","null",
