CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
5907926,2013,2014-01-18,0109,2013-01-17,0533,9009,1,4,5,7,0109,0,0,0,,0,19X,"E 8TH ST","11TH AV",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,05,21650,1,N,H,G,A,A,H,-,C,A,0,,Y,,,Y,,L,04,0,0,1,0,0,0,1,0,0,-,-,,,ALAMEDA,OAKLAND,-122.2510331,37.789705
5915024,2013,2014-01-18,0109,2013-01-27,1628,7591,1,7,5,7,0109,0,0,0,,0,03X,BROADWAY,"10TH ST",9.00,N,N,A,-,N,,,,,,,,,,N,3,0,1,2,B,-,22,,,N,H,G,A,A,H,-,A,A,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,-,-,,,ALAMEDA,OAKLAND,-122.2729289,37.8015969
5920781,2013,2014-01-29,0109,2013-02-14,1137,8606,1,4,5,7,0109,0,0,0,,0,23X,"FRUITVALE AV","9TH ST",0.00,,Y,A,-,N,,,,,,,,,,N,2,0,1,2,D,-,00,,,N,H,G,A,A,H,-,A,A,0,,Y,,Y,Y,,-,-,1,0,0,0,0,0,1,0,0,-,-,,,ALAMEDA,OAKLAND,-122.2278931,37.7734749
5927323,2013,2014-02-01,0109,2013-02-21,1839,8420,2,4,5,7,0109,0,0,0,,0,23X,"INTERNATIONAL BL","37TH AV",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,08,22107,,N,H,G,A,A,H,-,B,A,0,,Y,,,Y,,D,22,0,0,1,0,0,0,1,0,0,-,-,,,ALAMEDA,OAKLAND,-122.2208931,37.7752149
5936708,2013,2014-02-08,0109,2013-03-01,1500,8390,1,5,5,7,0109,0,0,0,,0,19X,"1ST AV","E 12TH ST",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,08,22107,,M,D,G,A,A,H,-,A,A,0,,Y,,,Y,,A,01,0,0,1,0,0,0,1,0,0,-,-,,,ALAMEDA,OAKLAND,-122.2587631,37.7980449
5942987,2013,2014-02-01,0109,2013-03-09,2322,8898,1,6,5,7,0109,0,0,0,,0,04X,"19TH ST","TELEGRAPH AV",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,12,21453,A,N,H,G,A,A,H,-,C,A,0,,Y,,,Y,,D,22,0,0,1,0,0,0,1,0,0,-,-,,,ALAMEDA,OAKLAND,-122.2699631,37.8082049
5943353,2013,2014-01-28,0109,2013-01-12,1701,8817,2,6,5,7,0109,0,0,0,,0,31Y,"HEGENBERGER RD","BALDWIN WY",80.00,N,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,08,22107,,M,G,G,A,A,H,-,A,A,0,,Y,,,Y,,A,08,0,0,1,0,0,0,1,0,0,-,-,,,ALAMEDA,OAKLAND,-122.1965447,37.7507836
5946401,2013,2014-01-23,0109,2013-01-27,1340,9048,1,7,5,7,0109,0,0,0,,0,21Y,"COOLIDGE AV","SCHOOL ST",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,D,-,00,,,N,H,G,A,A,H,-,A,A,0,,Y,,,Y,,-,-,0,1,0,0,0,0,1,0,0,-,-,,,ALAMEDA,OAKLAND,-122.2125331,37.7947648
5947691,2013,2014-02-01,0109,2013-03-19,0950,8652,1,2,5,7,0109,0,0,0,,0,12Y,"TELEGRAPH AV","ALCATRAZ AV",0.00,,N,-,-,N,,,,,,,,,,N,3,0,1,2,A,-,12,21453,A,N,H,G,A,A,H,-,A,A,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,-,-,,,ALAMEDA,OAKLAND,-122.2605432,37.8501949
5974107,2013,2014-01-21,0109,2013-01-19,1044,9091,1,6,5,7,0109,0,0,0,,0,04X,"MARTIN LUTHER KING JR WY","WEST GRAND AV",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,12,21453,A,F,B,G,A,A,H,-,A,A,0,,Y,,,Y,,A,08,0,0,1,0,0,0,1,0,0,-,-,,,ALAMEDA,OAKLAND,-122.2728131,37.8125849
