CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
5814965,2013,2013-03-15,0109,2013-01-04,0130,9084,1,5,5,7,0109,0,0,0,,0,07X,"SAN PABLO AV","34TH ST",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,11,21954,A,N,G,B,D,A,H,-,C,D,0,Y,,,,Y,,N,60,0,0,1,0,1,0,0,0,0,-,-,,,ALAMEDA,OAKLAND,-122.2780832,37.8251849
5890183,2013,2014-01-17,0109,2013-01-03,1140,8088,2,4,5,7,0109,0,0,0,,0,26X,"INTERNATIONAL BL","62ND AV",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,D,22,0,0,1,0,1,0,0,0,0,-,-,,,ALAMEDA,OAKLAND,-122.1972031,37.7640048
5907930,2013,2014-01-18,0109,2013-01-16,0829,8119,2,3,5,7,0109,0,0,0,,0,21Y,"HAROLD ST","BOSTON AV",4.00,E,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,D,22,0,1,0,0,1,0,0,0,0,-,-,,,ALAMEDA,OAKLAND,-122.2137999,37.7971219
5910013,2013,2013-04-12,9370,2013-01-23,2035,018712,,3,2,7,0109,0,1,1,,2,098,"RT 980","14TH ST",100.00,W,N,C,-,Y,ALA,4,980,-,-,0.625,R,2,W,N,1,1,0,2,A,-,11,21953,,F,G,B,E,B,H,-,D,D,1,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,FR,-,37.80667,-122.27842,ALAMEDA,OAKLAND,-122.2795431,37.804555
5910068,2013,2015-01-15,9370,2013-01-06,1945,20206,,7,2,7,0109,0,1,1,,2,176,"RT 880","HIGH ST",2210.00,S,N,A,-,Y,ALA,4,880,-,-,27.210,H,-,N,Y,1,1,1,3,A,-,11,21954,A,N,G,B,D,A,H,-,C,D,1,Y,,,,Y,Y,N,60,0,1,0,1,0,0,0,0,0,-,-,37.76493,-122.21754,ALAMEDA,OAKLAND,-122.2142095,37.7610574
5910195,2013,2015-01-08,9370,2013-03-24,0018,20149,,7,3,7,0109,0,1,1,,2,052,"RT 580","FOOTHILL BL",449.00,W,N,A,-,Y,ALA,4,580,-,R,34.810,H,-,E,N,1,1,0,2,A,-,11,21954,A,N,G,B,D,A,H,-,D,D,1,Y,,,,Y,Y,N,60,0,0,0,1,0,0,0,0,0,-,-,37.73865,-122.14214,ALAMEDA,OAKLAND,-122.1396634,37.7334721
5911894,2013,2015-01-12,9370,2013-11-07,0440,20428,,4,3,7,0109,0,1,1,,2,052,"RT 580","BUELL ST",737.00,W,N,A,-,Y,ALA,4,580,-,R,39.610,H,-,W,Y,1,1,0,2,A,-,11,21953,,N,G,B,E,A,H,-,D,D,1,Y,,,,Y,,N,60,0,0,0,1,0,0,0,0,0,-,-,37.78421,-122.18562,ALAMEDA,OAKLAND,-122.1839913,37.784173
5912007,2013,2014-05-20,9370,2013-12-24,2020,19160,,2,2,7,0109,0,1,1,,2,055,"RT 580","HOLLIS ST",0.00,E,N,A,-,Y,ALA,4,580,-,-,45.980,H,-,W,Y,1,1,0,2,A,-,11,21954,A,N,G,B,E,A,H,-,D,D,1,Y,,,,Y,Y,N,60,0,0,0,1,0,0,0,0,0,-,-,,,ALAMEDA,OAKLAND,-122.2859134,37.8269367
5913405,2013,2014-01-29,0109,2013-02-03,1611,8776,1,7,5,7,0109,0,0,0,,0,17Y,"9TH AV","E 28TH ST",175.00,S,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,05,21650,,F,G,B,E,A,H,-,A,A,0,Y,,,Y,Y,,F,26,0,0,1,0,1,0,0,0,0,-,-,,,ALAMEDA,OAKLAND,-122.2386857,37.8012881
5915679,2013,2014-01-17,0109,2013-01-18,1418,8903,1,5,5,7,0109,0,0,0,,0,03X,"10TH ST","MADISON ST",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,D,-,00,,,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,-,-,0,0,1,0,1,0,0,0,0,-,-,,,ALAMEDA,OAKLAND,-122.2658232,37.7987849
