Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,ACS18_5yr_B03002001,ACS18_5yr_B03002002,ACS18_5yr_B03002003,ACS18_5yr_B03002004,ACS18_5yr_B03002005,ACS18_5yr_B03002006,ACS18_5yr_B03002007,ACS18_5yr_B03002008,ACS18_5yr_B03002009,ACS18_5yr_B03002010,ACS18_5yr_B03002011,ACS18_5yr_B03002012,ACS18_5yr_B03002013,ACS18_5yr_B03002014,ACS18_5yr_B03002015,ACS18_5yr_B03002016,ACS18_5yr_B03002017,ACS18_5yr_B03002018,ACS18_5yr_B03002019,ACS18_5yr_B03002020,ACS18_5yr_B03002021,ACS18_5yr_B03002001s,ACS18_5yr_B03002002s,ACS18_5yr_B03002003s,ACS18_5yr_B03002004s,ACS18_5yr_B03002005s,ACS18_5yr_B03002006s,ACS18_5yr_B03002007s,ACS18_5yr_B03002008s,ACS18_5yr_B03002009s,ACS18_5yr_B03002010s,ACS18_5yr_B03002011s,ACS18_5yr_B03002012s,ACS18_5yr_B03002013s,ACS18_5yr_B03002014s,ACS18_5yr_B03002015s,ACS18_5yr_B03002016s,ACS18_5yr_B03002017s,ACS18_5yr_B03002018s,ACS18_5yr_B03002019s,ACS18_5yr_B03002020s,ACS18_5yr_B03002021s,ACS18_5yr_B25003001,ACS18_5yr_B25003002,ACS18_5yr_B25003003,ACS18_5yr_B25003001s,ACS18_5yr_B25003002s,ACS18_5yr_B25003003s
"06001400100","14000US06001400100","Census Tract 4001","Census Tract 4001, Alameda County, California","ca","140","00","ACSSF","0002699",,,,,"06","001",,,,"400100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3115,3011,2055,128,0,592,0,69,167,8,159,104,67,0,0,7,0,30,0,0,0,132.7273,132.7273,160.6061,44.24242,7.272727,124.2424,7.272727,45.45454,60.60606,7.878788,59.39394,34.54546,31.51515,7.272727,7.272727,6.666667,7.272727,15.75758,7.272727,7.272727,7.272727,1297,1158,139,37.57576,55.75758,44.84848
"06001400200","14000US06001400200","Census Tract 4002","Census Tract 4002, Alameda County, California","ca","140","00","ACSSF","0002700",,,,,"06","001",,,,"400200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,1847,1436,59,4,183,0,6,159,0,159,178,115,0,0,0,0,11,52,0,52,66.66666,73.33334,89.09091,27.87879,3.636364,39.39394,7.272727,4.848485,41.21212,7.272727,41.21212,45.45454,38.18182,7.272727,7.272727,7.272727,7.272727,4.848485,21.21212,7.272727,21.21212,855,532,323,27.27273,27.27273,30.30303
"06001400300","14000US06001400300","Census Tract 4003","Census Tract 4003, Alameda County, California","ca","140","00","ACSSF","0002701",,,,,"06","001",,,,"400300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,4636,3458,380,0,535,39,20,204,0,204,364,299,0,0,0,0,65,0,0,0,188.4848,182.4242,163.6364,111.5152,10.30303,82.42424,38.78788,16.9697,81.21212,10.30303,81.21212,84.24242,76.9697,10.30303,10.30303,10.30303,10.30303,40,10.30303,10.30303,10.30303,2441,1057,1384,79.39394,103.6364,127.8788
"06001400400","14000US06001400400","Census Tract 4004","Census Tract 4004, Alameda County, California","ca","140","00","ACSSF","0002702",,,,,"06","001",,,,"400400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3843,3423,2551,229,21,373,0,0,249,0,249,420,152,0,11,0,0,188,69,21,48,221.8182,203.6364,184.2424,81.81818,15.75758,69.69697,7.272727,7.272727,67.87878,7.272727,67.87878,140,48.48485,7.272727,11.51515,7.272727,7.272727,128.4848,30.30303,14.54545,27.27273,1750,653,1097,66.66666,64.84849,83.0303
"06001400500","14000US06001400500","Census Tract 4005","Census Tract 4005, Alameda County, California","ca","140","00","ACSSF","0002703",,,,,"06","001",,,,"400500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3786,3452,1885,990,0,264,23,12,278,20,258,334,151,0,0,0,0,91,92,22,70,215.1515,184.8485,163.6364,129.697,7.272727,66.06061,21.81818,10.90909,102.4242,12.72727,100,110.9091,66.66666,7.272727,7.272727,7.272727,7.272727,61.81818,49.09091,15.15152,43.0303,1622,605,1017,43.0303,66.66666,60.60606
"06001400600","14000US06001400600","Census Tract 4006","Census Tract 4006, Alameda County, California","ca","140","00","ACSSF","0002704",,,,,"06","001",,,,"400600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1638,1514,817,343,3,144,13,21,173,0,173,124,68,17,0,24,0,8,7,0,7,83.0303,80.60606,91.51515,62.42424,3.636364,43.63636,12.12121,16.9697,43.63636,7.272727,43.63636,39.39394,24.84848,14.54545,7.272727,16.9697,7.272727,7.272727,7.272727,7.272727,7.272727,657,283,374,30.90909,35.15152,41.81818
"06001400700","14000US06001400700","Census Tract 4007","Census Tract 4007, Alameda County, California","ca","140","00","ACSSF","0002705",,,,,"06","001",,,,"400700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5116,4132,2032,1449,70,286,0,0,295,0,295,984,294,9,22,0,0,540,119,95,24,345.4546,234.5455,196.3636,169.0909,53.93939,65.45454,10.30303,10.30303,86.06061,10.30303,86.06061,313.9394,80.60606,8.484848,16.9697,10.30303,10.30303,303.0303,68.48485,67.87878,16.36364,1947,770,1177,49.69697,78.78788,76.9697
"06001400800","14000US06001400800","Census Tract 4008","Census Tract 4008, Alameda County, California","ca","140","00","ACSSF","0002706",,,,,"06","001",,,,"400800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3792,3449,1677,1005,8,522,0,0,237,64,173,343,45,44,0,0,0,173,81,49,32,254.5455,253.9394,133.3333,210.303,7.878788,77.57576,7.272727,7.272727,70.30303,33.93939,48.48485,159.3939,23.63636,31.51515,7.272727,7.272727,7.272727,152.1212,50.90909,30.30303,21.81818,1626,600,1026,56.9697,65.45454,80.60606
"06001400900","14000US06001400900","Census Tract 4009","Census Tract 4009, Alameda County, California","ca","140","00","ACSSF","0002707",,,,,"06","001",,,,"400900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2471,2152,1036,750,15,140,0,78,133,10,123,319,157,15,0,0,0,147,0,0,0,155.1515,166.0606,147.8788,176.9697,14.54545,43.0303,7.272727,42.42424,40,10.30303,39.39394,117.5758,89.69697,13.93939,7.272727,7.272727,7.272727,86.66666,7.272727,7.272727,7.272727,1044,305,739,52.72727,45.45454,59.39394
"06001401000","14000US06001401000","Census Tract 4010","Census Tract 4010, Alameda County, California","ca","140","00","ACSSF","0002708",,,,,"06","001",,,,"401000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6024,4932,1906,2003,6,269,96,46,606,80,526,1092,454,108,0,0,0,411,119,95,24,302.4243,353.3333,255.1515,369.697,5.454545,75.75758,70.30303,30.30303,209.697,67.87878,187.8788,224.8485,197.5758,83.0303,10.30303,10.30303,10.30303,166.0606,42.42424,41.21212,18.18182,2439,849,1590,94.54546,94.54546,120.6061
